Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
GAMES WORKSHOP GROUP PLC ORD 5P,GAW.L,GAW,Consumer Cyclical,United Kingdom,LSE,5229327360,FTSE 100,^FTSE,99,0.23
BABCOCK INTERNATIONAL GROUP PLC,BAB.L,BAB,Industrials,United Kingdom,LSE,5389663744,FTSE 100,^FTSE,99,0.24
WHITBREAD PLC ORD 76 122/153P,WTB.L,WTB,Consumer Cyclical,United Kingdom,LSE,5095472640,FTSE 100,^FTSE,99,0.23
KINGFISHER PLC ORD 15 5/7P,KGF.L,KGF,Consumer Cyclical,United Kingdom,LSE,4975179776,FTSE 100,^FTSE,99,0.22
IMI PLC ORD 28 4/7P,IMI.L,IMI,Industrials,United Kingdom,LSE,5046137344,FTSE 100,^FTSE,99,0.22
ENTAIN PLC ORD EUR0.01,ENT.L,ENT,Consumer Cyclical,Isle of Man,LSE,4813193216,FTSE 100,^FTSE,99,0.21
HIKMA PHARMACEUTICALS PLC ORD S,HIK.L,HIK,Healthcare,United Kingdom,LSE,4646685696,FTSE 100,^FTSE,99,0.21
LAND SECURITIES GROUP PLC ORD 1,LAND.L,LAND,Real Estate,United Kingdom,LSE,4648444416,FTSE 100,^FTSE,99,0.21
HOWDEN JOINERY GROUP PLC ORD 10,HWDN.L,HWDN,Consumer Cyclical,United Kingdom,LSE,4706074624,FTSE 100,^FTSE,99,0.21
ALLIANCE WITAN PLC ORD 2.5P,ALW.L,ALW,Non disponible,Non disponible,LSE,4753402880,FTSE 100,^FTSE,99,0.21
DCC PLC ORD EUR0.25 (CDI),DCC.L,DCC,Energy,Ireland,LSE,4568755200,FTSE 100,^FTSE,99,0.2
EASYJET PLC ORD 27 2/7P,EZJ.L,EZJ,Industrials,United Kingdom,LSE,4428033024,FTSE 100,^FTSE,99,0.2
HISCOX LTD ORD 6.5P (DI),HSX.L,HSX,Financial Services,Bermuda,LSE,4357552128,FTSE 100,^FTSE,99,0.19
CRODA INTERNATIONAL PLC ORD 10.,CRDA.L,CRDA,Basic Materials,United Kingdom,LSE,4236587264,FTSE 100,^FTSE,99,0.19
JD SPORTS FASHION PLC ORD 0.05P,JD.L,JD,Consumer Cyclical,United Kingdom,LSE,4190051328,FTSE 100,^FTSE,99,0.19
PERSIMMON PLC ORD 10P,PSN.L,PSN,Consumer Cyclical,United Kingdom,LSE,4148750592,FTSE 100,^FTSE,99,0.18
UNITE GROUP PLC ORD 25P,UTG.L,UTG,Real Estate,United Kingdom,LSE,4179769856,FTSE 100,^FTSE,99,0.18
LONDONMETRIC PROPERTY PLC ORD 1,LMP.L,LMP,Real Estate,United Kingdom,LSE,4129704192,FTSE 100,^FTSE,99,0.18
BERKELEY GROUP HOLDINGS (THE) P,BKG.L,BKG,Consumer Cyclical,United Kingdom,LSE,4116163072,FTSE 100,^FTSE,99,0.18
TAYLOR WIMPEY PLC ORD 1P,TW.L,TW,Consumer Cyclical,United Kingdom,LSE,4074311424,FTSE 100,^FTSE,99,0.18
SPIRAX GROUP PLC ORD 26 12/13P,SPX.L,SPX,Industrials,United Kingdom,LSE,4285875712,FTSE 100,^FTSE,99,0.19
POLAR CAPITAL TECHNOLOGY TRUST ,PCT.L,PCT,Non disponible,Non disponible,LSE,3926322176,FTSE 100,^FTSE,99,0.17
