Date,Close,Ticker_Indice_Yf,Short_Name_Indice
01-01-1992,3223.3999,^DJI,Dow Jones Industrial Average
01-02-1992,3267.7,^DJI,Dow Jones Industrial Average
01-03-1992,3235.5,^DJI,Dow Jones Industrial Average
01-04-1992,3359.1001,^DJI,Dow Jones Industrial Average
01-05-1992,3396.8999,^DJI,Dow Jones Industrial Average
01-06-1992,3318.5,^DJI,Dow Jones Industrial Average
01-07-1992,3393.8,^DJI,Dow Jones Industrial Average
01-08-1992,3257.3999,^DJI,Dow Jones Industrial Average
01-09-1992,3271.7,^DJI,Dow Jones Industrial Average
01-10-1992,3226.3,^DJI,Dow Jones Industrial Average
01-11-1992,3305.2,^DJI,Dow Jones Industrial Average
01-12-1992,3301.1101,^DJI,Dow Jones Industrial Average
01-01-1993,3310.0,^DJI,Dow Jones Industrial Average
01-02-1993,3370.8101,^DJI,Dow Jones Industrial Average
01-03-1993,3435.1101,^DJI,Dow Jones Industrial Average
01-04-1993,3427.55,^DJI,Dow Jones Industrial Average
01-05-1993,3527.4299,^DJI,Dow Jones Industrial Average
01-06-1993,3516.0801,^DJI,Dow Jones Industrial Average
01-07-1993,3539.47,^DJI,Dow Jones Industrial Average
01-08-1993,3651.25,^DJI,Dow Jones Industrial Average
01-09-1993,3555.1201,^DJI,Dow Jones Industrial Average
01-10-1993,3680.5901,^DJI,Dow Jones Industrial Average
01-11-1993,3683.95,^DJI,Dow Jones Industrial Average
01-12-1993,3754.0901,^DJI,Dow Jones Industrial Average
01-01-1994,3978.3601,^DJI,Dow Jones Industrial Average
01-02-1994,3832.02,^DJI,Dow Jones Industrial Average
01-03-1994,3635.96,^DJI,Dow Jones Industrial Average
01-04-1994,3681.6899,^DJI,Dow Jones Industrial Average
01-05-1994,3758.3701,^DJI,Dow Jones Industrial Average
01-06-1994,3624.96,^DJI,Dow Jones Industrial Average
01-07-1994,3764.5,^DJI,Dow Jones Industrial Average
01-08-1994,3913.4199,^DJI,Dow Jones Industrial Average
01-09-1994,3843.1899,^DJI,Dow Jones Industrial Average
01-10-1994,3908.1201,^DJI,Dow Jones Industrial Average
01-11-1994,3739.23,^DJI,Dow Jones Industrial Average
01-12-1994,3834.4399,^DJI,Dow Jones Industrial Average
01-01-1995,3843.8601,^DJI,Dow Jones Industrial Average
01-02-1995,4011.05,^DJI,Dow Jones Industrial Average
01-03-1995,4157.6899,^DJI,Dow Jones Industrial Average
01-04-1995,4321.27,^DJI,Dow Jones Industrial Average
01-05-1995,4465.1401,^DJI,Dow Jones Industrial Average
01-06-1995,4556.1001,^DJI,Dow Jones Industrial Average
01-07-1995,4708.4702,^DJI,Dow Jones Industrial Average
01-08-1995,4610.5601,^DJI,Dow Jones Industrial Average
01-09-1995,4789.0801,^DJI,Dow Jones Industrial Average
01-10-1995,4755.48,^DJI,Dow Jones Industrial Average
01-11-1995,5074.4902,^DJI,Dow Jones Industrial Average
01-12-1995,5117.1201,^DJI,Dow Jones Industrial Average
01-01-1996,5395.2998,^DJI,Dow Jones Industrial Average
01-02-1996,5485.6201,^DJI,Dow Jones Industrial Average
01-03-1996,5587.1401,^DJI,Dow Jones Industrial Average
01-04-1996,5569.0801,^DJI,Dow Jones Industrial Average
01-05-1996,5643.1802,^DJI,Dow Jones Industrial Average
01-06-1996,5654.6299,^DJI,Dow Jones Industrial Average
01-07-1996,5528.9102,^DJI,Dow Jones Industrial Average
01-08-1996,5616.21,^DJI,Dow Jones Industrial Average
01-09-1996,5882.1699,^DJI,Dow Jones Industrial Average
01-10-1996,6029.3799,^DJI,Dow Jones Industrial Average
01-11-1996,6521.7002,^DJI,Dow Jones Industrial Average
01-12-1996,6448.27,^DJI,Dow Jones Industrial Average
01-01-1997,6813.0898,^DJI,Dow Jones Industrial Average
01-02-1997,6877.7402,^DJI,Dow Jones Industrial Average
01-03-1997,6583.48,^DJI,Dow Jones Industrial Average
01-04-1997,7009.0,^DJI,Dow Jones Industrial Average
01-05-1997,7331.0,^DJI,Dow Jones Industrial Average
01-06-1997,7672.7998,^DJI,Dow Jones Industrial Average
01-07-1997,8222.5996,^DJI,Dow Jones Industrial Average
