Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
KAWASAKI HEAVY INDUSTRIES,7012.T,7012,Industrials,Japan,JPX,2072493555712,Nikkei 225,^N225,200,0.26
TAISEI CORP,1801.T,1801,Industrials,Japan,JPX,1847444897792,Nikkei 225,^N225,200,0.23
TOKYO GAS CO,9531.T,9531,Utilities,Japan,JPX,1866249535488,Nikkei 225,^N225,200,0.23
OSAKA GAS CO,9532.T,9532,Utilities,Japan,JPX,1892485955584,Nikkei 225,^N225,200,0.24
EBARA CORP,6361.T,6361,Industrials,Japan,JPX,1901524942848,Nikkei 225,^N225,200,0.24
OBAYASHI CORP,1802.T,1802,Industrials,Japan,JPX,1819122860032,Nikkei 225,^N225,200,0.23
JAPAN EXCHANGE GROUP,8697.T,8697,Financial Services,Japan,JPX,1777842257920,Nikkei 225,^N225,200,0.22
KIRIN HOLDINGS COMPANY LIMITED,2503.T,2503,Consumer Defensive,Japan,JPX,1753574801408,Nikkei 225,^N225,200,0.22
RYOHIN KEIKAKU CO,7453.T,7453,Consumer Cyclical,Japan,JPX,1680279994368,Nikkei 225,^N225,200,0.21
T&D HOLDINGS INC,8795.T,8795,Financial Services,Japan,JPX,1642570317824,Nikkei 225,^N225,200,0.2
MITSUI O.S.K. LINES LTD,9104.T,9104,Industrials,Japan,JPX,1574109184000,Nikkei 225,^N225,200,0.2
CHUBU ELECTRIC POWER CO INC,9502.T,9502,Utilities,Japan,JPX,1620366196736,Nikkei 225,^N225,200,0.2
DAIWA SECURITIES GROUP,8601.T,8601,Financial Services,Japan,JPX,1650916851712,Nikkei 225,^N225,200,0.21
ASAHI KASEI CORP,3407.T,3407,Industrials,Japan,JPX,1605916295168,Nikkei 225,^N225,200,0.2
FUJI ELECTRIC CO. LTD.,6504.T,6504,Industrials,Japan,JPX,1629400989696,Nikkei 225,^N225,200,0.2
TORAY INDUSTRIES INC,3402.T,3402,Consumer Cyclical,Japan,JPX,1422866120704,Nikkei 225,^N225,200,0.18
TOHO CO LTD,9602.T,9602,Communication Services,Japan,JPX,1535644401664,Nikkei 225,^N225,200,0.19
M3 INC,2413.T,2413,Healthcare,Japan,JPX,1470518657024,Nikkei 225,^N225,200,0.18
WEST JAPAN RAILWAY CO,9021.T,9021,Industrials,Japan,JPX,1438520049664,Nikkei 225,^N225,200,0.18
NITORI HOLDINGS CO LTD,9843.T,9843,Consumer Cyclical,Japan,JPX,1412643946496,Nikkei 225,^N225,200,0.18
SUMITOMO METAL MINING CO,5713.T,5713,Basic Materials,Japan,JPX,1373594583040,Nikkei 225,^N225,200,0.17
SHIMIZU CORP,1803.T,1803,Industrials,Japan,JPX,1402840547328,Nikkei 225,^N225,200,0.17
IDEMITSU KOSAN CO.LTD,5019.T,5019,Energy,Japan,JPX,1312198361088,Nikkei 225,^N225,200,0.16
KAWASAKI KISEN KAISHA,9107.T,9107,Industrials,Japan,JPX,1397865054208,Nikkei 225,^N225,200,0.17
ANA HOLDINGS INC,9202.T,9202,Industrials,Japan,JPX,1357723205632,Nikkei 225,^N225,200,0.17
ISUZU MOTORS,7202.T,7202,Consumer Cyclical,Japan,JPX,1322144759808,Nikkei 225,^N225,200,0.16
SCREEN HOLDINGS CO LTD,7735.T,7735,Technology,Japan,JPX,1386882793472,Nikkei 225,^N225,200,0.17
EISAI CO LTD,4523.T,4523,Healthcare,Japan,JPX,1289269673984,Nikkei 225,^N225,200,0.16
YOKOHAMA FINANCIAL GROUP INC,7186.T,7186,Financial Services,Japan,JPX,1272738742272,Nikkei 225,^N225,200,0.16
DAI NIPPON PRINTING CO,7912.T,7912,Industrials,Japan,JPX,1158841630720,Nikkei 225,^N225,200,0.14
KYOWA KIRIN CO LTD,4151.T,4151,Healthcare,Japan,JPX,1246951899136,Nikkei 225,^N225,200,0.16
MINEBEA MITSUMI INC,6479.T,6479,Technology,Japan,JPX,1227245223936,Nikkei 225,^N225,200,0.15
TOKYO ELEC POWER CO HLDGS INC,9501.T,9501,Utilities,Japan,JPX,1236958183424,Nikkei 225,^N225,200,0.15
NISSAN MOTOR CO,7201.T,7201,Consumer Cyclical,Japan,JPX,1234518147072,Nikkei 225,^N225,200,0.15
YOKOGAWA ELECTRIC CORP,6841.T,6841,Industrials,Japan,JPX,1177152258048,Nikkei 225,^N225,200,0.15
JAPAN AIRLINES CO LTD,9201.T,9201,Industrials,Japan,JPX,1213061529600,Nikkei 225,^N225,200,0.15
KIKKOMAN CORP,2801.T,2801,Consumer Defensive,Japan,JPX,1146141671424,Nikkei 225,^N225,200,0.14
ZOZO INC,3092.T,3092,Consumer Cyclical,Japan,JPX,1179247443968,Nikkei 225,^N225,200,0.15
SHIZUOKA FINANCIAL GROUP INC.,5831.T,5831,Financial Services,Japan,JPX,1124822024192,Nikkei 225,^N225,200,0.14
YASKAWA ELECTRIC CORP,6506.T,6506,Industrials,Japan,JPX,1100924977152,Nikkei 225,^N225,200,0.14
BAYCURRENT INC,6532.T,6532,Industrials,Japan,JPX,1072905715712,Nikkei 225,^N225,200,0.13
RESONAC HOLDINGS CORPORATION,4004.T,4004,Basic Materials,Japan,JPX,1092732190720,Nikkei 225,^N225,200,0.14
CHIBA BANK,8331.T,8331,Financial Services,Japan,JPX,1065200189440,Nikkei 225,^N225,200,0.13
HITACHI CONSTRUCTION MACHINERY,6305.T,6305,Industrials,Japan,JPX,1070111653888,Nikkei 225,^N225,200,0.13
MITSUBISHI CHEMICAL GROUP CORP,4188.T,4188,Basic Materials,Japan,JPX,1095092338688,Nikkei 225,^N225,200,0.14
JFE HOLDINGS INC,5411.T,5411,Basic Materials,Japan,JPX,1124904599552,Nikkei 225,^N225,200,0.14
YAMAHA MOTOR CO,7272.T,7272,Consumer Cyclical,Japan,JPX,1081076285440,Nikkei 225,^N225,200,0.13
SHISEIDO COMPANY LIMITED,4911.T,4911,Consumer Defensive,Japan,JPX,1038764212224,Nikkei 225,^N225,200,0.13
TREND MICRO INC,4704.T,4704,Technology,Japan,JPX,1039375663104,Nikkei 225,^N225,200,0.13
TOKYU CORP,9005.T,9005,Consumer Cyclical,Japan,JPX,979362250752,Nikkei 225,^N225,200,0.12
TOPPAN HOLDINGS INC,7911.T,7911,Industrials,Japan,JPX,1083397111808,Nikkei 225,^N225,200,0.13
AGC INC,5201.T,5201,Industrials,Japan,JPX,1023549964288,Nikkei 225,^N225,200,0.13
ROHM CO LTD,6963.T,6963,Technology,Japan,JPX,956070166528,Nikkei 225,^N225,200,0.12
MITSUI KINZOKU CO LTD,5706.T,5706,Industrials,Japan,JPX,901725224960,Nikkei 225,^N225,200,0.11
TOKYU FUDOSAN HOLDINGS CORPORAT,3289.T,3289,Real Estate,Japan,JPX,885970894848,Nikkei 225,^N225,200,0.11
ISETAN MITSUKOSHI HOLDINGS LTD,3099.T,3099,Consumer Cyclical,Japan,JPX,853377220608,Nikkei 225,^N225,200,0.11
YOKOHAMA RUBBER CO,5101.T,5101,Consumer Cyclical,Japan,JPX,871471710208,Nikkei 225,^N225,200,0.11
FUKUOKA FINANCIAL GROUP INC.,8354.T,8354,Financial Services,Japan,JPX,847971876864,Nikkei 225,^N225,200,0.11
NIPPON EXPRESS HLDGS INC,9147.T,9147,Industrials,Japan,JPX,801467990016,Nikkei 225,^N225,200,0.1
OMRON CORP,6645.T,6645,Technology,Japan,JPX,848615374848,Nikkei 225,^N225,200,0.11
MEIJI HOLDINGS CO LTD,2269.T,2269,Consumer Defensive,Japan,JPX,802648948736,Nikkei 225,^N225,200,0.1
DENTSU GROUP INC,4324.T,4324,Communication Services,Japan,JPX,790184132608,Nikkei 225,^N225,200,0.1
SOJITZ CORPORATION,2768.T,2768,Industrials,Japan,JPX,852082950144,Nikkei 225,^N225,200,0.11
CYBER AGENT,4751.T,4751,Communication Services,Japan,JPX,778493755392,Nikkei 225,^N225,200,0.1
FURUKAWA ELECTRIC CO,5801.T,5801,Industrials,Japan,JPX,775206141952,Nikkei 225,^N225,200,0.1
YAMATO HOLDINGS CO LTD,9064.T,9064,Industrials,Japan,JPX,713150300160,Nikkei 225,^N225,200,0.09
OJI HOLDINGS CORP,3861.T,3861,Basic Materials,Japan,JPX,710503038976,Nikkei 225,^N225,200,0.09
RICOH CO,7752.T,7752,Industrials,Japan,JPX,753555144704,Nikkei 225,^N225,200,0.09
JAPAN STEEL WORKS,5631.T,5631,Industrials,Japan,JPX,746345463808,Nikkei 225,^N225,200,0.09
SUMITOMO CHEMICAL COMPANY,4005.T,4005,Basic Materials,Japan,JPX,742722502656,Nikkei 225,^N225,200,0.09
NGK INSULATORS,5333.T,5333,Industrials,Japan,JPX,757722316800,Nikkei 225,^N225,200,0.09
KOBE STEEL,5406.T,5406,Basic Materials,Japan,JPX,714857906176,Nikkei 225,^N225,200,0.09
NISSAN CHEMICAL CORPORATION,4021.T,4021,Basic Materials,Japan,JPX,703539380224,Nikkei 225,^N225,200,0.09
TOSOH CORP,4042.T,4042,Basic Materials,Japan,JPX,694870081536,Nikkei 225,^N225,200,0.09
MITSUI CHEMICALS INC,4183.T,4183,Basic Materials,Japan,JPX,683232919552,Nikkei 225,^N225,200,0.09
